2020-03-04 2
2020-03-05 3 +1
2020-03-06 4 +1 
2020-03-07 7 +3
2020-03-08 9 +2
2020-03-09 12 +3
2020-03-10 12 
2020-03-11 13 +1
2020-03-12 16 +3
2020-03-13 19 +3
2020-03-14 30 +11
2020-03-15 32 +2
2020-03-16 39 +7
2020-03-17 50 +11
2020-03-18 58 +8
2020-03-19 73 +15
2020-03-20 85 +12
2020-03-21 103 +18 +21%
2020-03-22 131 +28 +27%
2020-03-23 167 +36 +27%
2020-03-24 187 +20 +11%
2020-03-25 226 +39 +21%
2020-03-26 261 +35 +15%
2020-03-27 300 +39 +15%
2020-03-28 343 +43 +14%
2020-03-29 408 +65 +18%
2020-03-30 447 +39 +9,5%
2020-03-31 492 +45 +10%
2020-04-01 525 +33 +7%
2020-04-02 585 +60 +11%
2020-04-03 623 +38 +6%
2020-04-04 678 +55 +8,8%
2020-04-05 733 +55 +8,1%
2020-04-06 744 +11 +1,5%
2020-04-07 817 +73 +9,8%
2020-04-08 895 +78 +9,5%
2020-04-09 980 +85 +9,5%
2020-04-10 1190 +210 +21,4%
2020-04-11 1310 +120 +10%
2020-04-12 1410 +100 +7,6%
2020-04-13 1458 +48  +3,4%
2020-04-14 1512 +54  +3,7%
2020-04-15 1579 +67  +4,4%
2020-04-16 1652 +73  +4,6%
2020-04-17 1763 +111 +6,7%
2020-04-18 1834 +71  +4,02%
2020-04-19 1916 +82  +4,47%
2020-04-20 1984 +68  +3,54%
2020-04-21 2098 +114  +5,75%
2020-04-22 2168 +70  +3,33
